Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process,productName,productName_clean,incide_productName,isTrue_productName
https://incidecoder.com/products/chanel-sublimage-lextrait-de-nuit,Chanel,Sublimage L'Extrait De Nuit,11/15/2020,"A night serum that helps skin reconnect to its natural rejuvenating cycle while you sleep for a plump, luminous, rested appearance upon waking. Night after night, skin looks stronger and smoother, while signs of fatigue appear visibly diminished.","Aqua (Water), Coco-Caprylate/​Caprate, Propanediol, Caprylic/​Capric Triglyceride, Isononyl Isononanoate, Pentylene Glycol, Limnanthes Alba (Meadowfoam) Seed Oil, Methylpropanediol, Vanilla Planifolia Fruit Water, Secale Cereale (Rye) Seed Extract, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Vanilla Planifolia Leaf Cell Extract, Vanilla Planifolia Flower Extract, Glutamylamidoethyl Imidazole, Castor Oil/​Ipdi Copolymer, Parfum (Fragrance), Sodium Carbomer, Chlorphenesin, Glycerin, Sodium Hyaluronate, Tamarindus Indica Seed Gum, Alcaligenes Polysaccharides, Trisodium Ethylenediamine Disuccinate, Amodimethicone, Adenosine, Tocopherol, Sodium Benzoate, Caramel",https://incidecoder-content.storage.googleapis.com/cc1806ca-f862-4457-a67b-69d8e82843ec/products/chanel-sublimage-lextrait-de-nuit/chanel-sublimage-lextrait-de-nuit_front_photo_original.jpeg,Success,Channel SUBLIMAGE L'EXTRAIT DE NUIT,Channel SUBLIMAGE L'EXTRAIT DE NUIT,Chanel Sublimage L'Extrait De Nuit,True
https://incidecoder.com/products/chanel-ndeg1-de-chanel-revitalizing-serum,Chanel,N°1 De Chanel Revitalizing Serum,01/08/2022,A powerful serum that helps prevent and correct the appearance of the 5 signs of aging.,"Camellia Japonica Flower Water, Propanediol, Glycerin, Aqua (Water), Pentylene Glycol, Sodium Citrate, Sodium Polyacrylate, Faex (Yeast Extract), Coffea Arabica (Coffee) Seed Oil, Camellia Japonica Flower Extract, Parfum (Fragrance), Chlorphenesin, Citric Acid, Ethylhexyl Palmitate, Caprylyl Glycol, Xanthan Gum, Sodium Hyaluronate, Chondrus Crispus Powder, Adenosine, Lactic Acid, Saccharide Isomerate, 1,2-Hexanediol, Palmitoyl Tetrapeptide-7",https://incidecoder-content.storage.googleapis.com/f3916068-632b-4a03-8f6b-c4b90bdab94c/products/chanel-ndeg1-de-chanel-revitalizing-serum/chanel-ndeg1-de-chanel-revitalizing-serum_front_photo_original.jpeg,Success,Channel N°1 DE CHANEL REVITALIZING SERUM,Channel N°1 DE CHANEL REVITALIZING SERUM,Chanel N°1 De Chanel Revitalizing Serum,True
,,,,,,,None link found,Channel LE LIFT PRO CRÈME VOLUME,Channel LE LIFT PRO CRÈME VOLUME,,True
https://incidecoder.com/products/chanel-le-lift-creme,Chanel,Le Lift Crème,11/22/2019,"A soft, comforting face cream that delivers targeted anti-aging benefits for a visibly recontoured, toned and refined complexion.","Aqua (Water), Alcohol, Glycerin, Propanediol, Dimethicone, Triethylhexanoin, Camellia Kissi Seed Oil, Butylene Glycol, Cetearyl Alcohol, Methyl Methacrylate Crosspolymer, Ipomoea Batatas Root Extract, Butyrospermum Parkii (Shea) Butter, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Dipropylene Glycol, Phenoxyethanol, Boron Nitride, Glyceryl Stearate, PEG-100 Stearate, Tocopheryl Acetate, Parfum (Fragrance), Cetearyl Glucoside, Dimethicone Crosspolymer, Caprylyl Glycol, Sorbitan Laurate, Xanthan Gum, Propylene Glycol, Hydrolyzed Silk, Sodium Hyaluronate, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester, Phytic Acid, Sodium Benzoate, Sodium Citrate, Hydrochloric Acid, Citric Acid, Tocopherol, Palmitoyl Oligopeptide, Ci 14700 (Red 4), Ci 19140 (Yellow 5)",https://incidecoder-content.storage.googleapis.com/aae0f411-4e4c-4538-bfdb-ef0fa78d8167/products/chanel-le-lift-creme/chanel-le-lift-creme_front_photo_original.jpeg,Success,Channel LE LIFT CRÈME,Channel LE LIFT CRÈME,Chanel Le Lift Crème,True
,,,,,,,None link found,Channel N°1 DE CHANEL REVITALIZING CREAM,Channel N°1 DE CHANEL REVITALIZING CREAM,,True
https://incidecoder.com/products/chanel-hydra-beauty-micro-serum,Chanel,Hydra Beauty Micro Serum,02/07/2024,"A water-light serum that delivers a revolutionary infusion of hydration: 24 hours of continuous moisturizing benefits, leaving skin deeply replenished, smooth and glowing with youth.","Aqua (Water), Glycerin, Butylene Glycol, Propanediol, Dipentaerythrityl Hexacaprylate/​Hexacaprate, Isononyl Isononanoate, Pentylene Glycol, Camellia Japonica Flower Extract, Zingiber Officinale (Ginger) Root Extract, Phenoxyethanol, Parfum (Fragrance), Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, PVP, Carbomer, Camellia Oleifera Seed Oil, Dipropylene Glycol, Amodimethicone, Sodium Hydroxide, Disodium EDTA, Sodium Hyaluronate, Tocopherol",https://incidecoder-content.storage.googleapis.com/02cd7b5c-5f2d-41d3-bd32-8a5cb49c9ecb/products/chanel-hydra-beauty-micro-serum-3/chanel-hydra-beauty-micro-serum-3_front_photo_original.jpeg,Success,Channel HYDRA BEAUTY MICRO SÉRUM,Channel HYDRA BEAUTY MICRO SÉRUM,Chanel Hydra Beauty Micro Serum,True
,,,,,,,None link found,Channel La Mousse Crème Nettoyante Anti-Pollution Cleansing Cream-To-Foam,Channel La Mousse Crème Nettoyante Anti-Pollution Cleansing Cream-To-Foam,,True
https://incidecoder.com/products/chanel-sublimage-le-fluide,Chanel,Sublimage Le Fluide,11/22/2019,"Empowered with ultra-pure natural ingredients, this smooth, lightweight and oil-free emulsion addresses fine lines, wrinkles, dullness and loss of firmness while refining skin with a customized matte finish.","Aqua (Water), Glycerin, Alcohol, Lauroyl Lysine, Propanediol, Dicaprylyl Carbonate, Canola Oil, Dimethicone, Pentylene Glycol, Butylene Glycol, Vanilla Planifolia Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Propylene Glycol, PEG-60 Glyceryl Isostearate, Polyacrylic Acid, Dimethicone Crosspolymer, Parfum (Fragrance), Caprylyl Glycol, Sodium Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Zinc Gluconate, Neoruscogenin, Arginine, Polyquaternium-51, Sodium Hyaluronate, Sodium Carbomer, Ruscogenin, Phenoxyethanol, Phytic Acid, Polysorbate 20, Sarcosine, Xanthan Gum, Sodium Citrate, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Sodium Benzoate, Citric Acid, Ci 14700 (Red 4), Ci 15985 (Yellow 6), Ci 19140 (Yellow 5)",https://incidecoder-content.storage.googleapis.com/2f7529e5-3f73-470f-bf01-ff52d28a9344/products/chanel-sublimage-le-fluide/chanel-sublimage-le-fluide_front_photo_original.jpeg,Success,Channel SUBLIMAGE LE FLUIDE,Channel SUBLIMAGE LE FLUIDE,Chanel Sublimage Le Fluide,True
,,,,,,,None link found,Channel SUBLIMAGE L'EXTRAIT DE NUIT - L'ÉCRIN,Channel SUBLIMAGE L'EXTRAIT DE NUIT - L'ÉCRIN,,True
,,,,,,,None link found,Channel BOY DE CHANEL FORTIFYING GEL MOISTURIZER,Channel BOY DE CHANEL FORTIFYING GEL MOISTURIZER,,True
,,,,,,,None link found,Channel SUBLIMAGE LA CRÈME TEXTURE SUPRÊME,Channel SUBLIMAGE LA CRÈME TEXTURE SUPRÊME,,True
,,,,,,,None link found,Channel SUBLIMAGE LA CRÈME TEXTURE FINE,Channel SUBLIMAGE LA CRÈME TEXTURE FINE,,True
https://incidecoder.com/products/chanel-sublimage-lextrait-de-creme,Chanel,Sublimage L'Extrait De Crème,11/22/2019,"A pure and powerful cream, SUBLIMAGE L’EXTRAIT DE CRÈME delivers the exceptional power of a treatment to revitalize, regenerate, restore and protect.","Aqua (Water), Glycerin, Vanilla Planifolia Fruit Water, Squalane, Coco-Caprylate/​Caprate, Butylene Glycol, Canola Oil, Cetearyl Alcohol, Camellia Kissi Seed Oil, Dimethicone, Hydrogenated Polydecene, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Cetyl Alcohol, Phytosteryl Canola Glycerides, Limnanthes Alba (Meadowfoam) Seed Oil, Secale Cereale (Rye) Seed Extract, Vanilla Planifolia Fruit Oil, Faex (Yeast Extract), Vanilla Planifolia Leaf Cell Extract, Vanilla Planifolia Fruit Extract, Vanilla Planifolia Flower Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Sorbitol, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Glyceryl Stearate, PEG-100 Stearate, Tocopheryl Acetate, Cetearyl Glucoside, Parfum (Fragrance), Pentylene Glycol, Hydrogenated Lecithin, Methylparaben, Propanediol, Sodium Palmitate, Palmitic Acid, Xanthan Gum, Sucrose Laurate, Sucrose Palmitate, Propylene Glycol, Sodium Hyaluronate, Dipropylene Glycol, Polyquaternium-51, Adenosine, Arginine, Sodium Carbomer, Ethylhexyl Methoxycinnamate, Phytic Acid, Polysorbate 20, Ethylhexylglycerin, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Sodium Citrate, Tocopherol, Ascorbyl Palmitate, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Sodium Benzoate, Citric Acid, Ci 14700 (Red 4), Ci 15510 (Orange 4), Ci 15985 (Yellow 6), Ci 19140 (Yellow 5)",https://incidecoder-content.storage.googleapis.com/ebab8e16-ace0-4b00-817b-3e8e8b636a35/products/chanel-sublimage-lextrait-de-creme/chanel-sublimage-lextrait-de-creme_front_photo_original.jpeg,Success,Channel SUBLIMAGE L'EXTRAIT DE CRÈME,Channel SUBLIMAGE L'EXTRAIT DE CRÈME,Chanel Sublimage L'Extrait De Crème,True
https://incidecoder.com/products/chanel-sublimage-la-creme-lumiere,Chanel,Sublimage La Crème Lumière,11/23/2021,"The regenerating power of vanilla planifolia combined with the illuminating power of anthyllis in a sublime cream of lightness and softness. The active jewel of sublimage, polyfractionated vanilla planifolia ** stimulates life factors to promote cell renewal essential for beautiful skin: density, firmness, radiance, hydration. ","Aqua (Water), Glycerin, Dimethicone, Alcohol, Squalane, Butyrospermum Parkii (Shea) Butter, Propanediol, Lauroyl Lysine, Niacinamide, Octyldodecyl Myristate, Cetyl Alcohol, Glyceryl Stearate, Vanilla Planifolia Fruit Water, Secale Cereale (Rye) Seed Extract, Vanilla Planifolia Fruit Oil, Faex (Yeast Extract), Glycyrrhiza Glabra (Licorice) Root Extract, Anthyllis Vulneraria Flower Extract, PEG-75 Stearate, Arginine, Sodium Carbomer, Dimethicone Crosspolymer, Parfum (Fragrance), Pentylene Glycol, Tocopheryl Acetate, Ceteth-20, Steareth-20, Chlorphenesin, Caprylyl Glycol, Butylene Glycol, Xanthan Gum, Phenoxyethanol, Biosaccharide Gum-1, Polyquaternium-51, Adenosine, Sodium Hyaluronate, Lactic Acid, Phytic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Ethylhexylglycerin, Sodium Citrate, Tin Oxide, Palmitoyl Tetrapeptide-7, Sodium Benzoate, Citric Acid, Ci 77891 (Titanium Dioxide), Mica",https://incidecoder-content.storage.googleapis.com/69423b17-fca9-49b1-9879-7218e63df5cc/products/chanel-sublimage-la-creme-lumiere/chanel-sublimage-la-creme-lumiere_front_photo_original.jpeg,Success,Channel SUBLIMAGE LA CRÈME LUMIÈRE,Channel SUBLIMAGE LA CRÈME LUMIÈRE,Chanel Sublimage La Crème Lumière,True
https://incidecoder.com/products/chanel-sublimage-le-baume,Chanel,Sublimage Le Baume,04/25/2022,The regenerating and protecting balm.,"Aqua (Water), Glycerin, Moringa Oil/​Hydrogenated Moringa Oil Esters, Coco-Caprylate/​Caprate, Cetearyl Alcohol, Behenyl Alcohol, Pentaerythrityl Stearate/​Caprate/​Caprylate/​Adipate, Panthenol, Glyceryl Stearate, Cetearyl Glucoside, Octyldodecyl Myristate, Simmondsia Chinensis (Jojoba) Seed Oil, Vanilla Planifolia Fruit Water, Secale Cereale (Rye) Seed Extract, Vanilla Planifolia Fruit Oil, Faex (Yeast Extract), Vanilla Planifolia Flower Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Vanilla Planifolia Fruit Extract, Butyrospermum Parkii (Shea) Butter, Olus (Vegetable Oil), PEG-100 Stearate, Sodium Carbomer, Dimethicone, Pentylene Glycol, Parfum (Fragrance), Chlorphenesin, Caprylyl Glycol, Butylene Glycol, Propanediol, Dipropylene Glycol, Sodium Citrate, Propylene Glycol, Camelina Sativa Seed Oil, Sodium Hyaluronate, Adenosine, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Lactic Acid, Phytic Acid, 1,2-Hexanediol, Tocopherol, Palmitoyl Tetrapeptide-7, Sodium Benzoate, Citric Acid, Ci 14700 (Red 4), Ci 15985 (Yellow 6), Ci 19140 (Yellow 5)",https://incidecoder-content.storage.googleapis.com/c0db0973-d2b4-4a98-b8af-c87d10c2fdcc/products/chanel-sublimage-le-baume/chanel-sublimage-le-baume_front_photo_original.jpeg,Success,Channel SUBLIMAGE LE BAUME,Channel SUBLIMAGE LE BAUME,Chanel Sublimage Le Baume,True
https://incidecoder.com/products/chanel-hydra-beauty-nutrition,Chanel,Hydra Beauty Nutrition,11/22/2021,"The nourishing gesture for weakened and dry skin. Hydra beauty nutrition nourishing and protective cream gently soothes, repairs and protects the skin so that it regains beauty, comfort and radiance. Its generous texture delicately melts, revealing subtle fruity notes.","Aqua (Water), Glycerin, Isononyl Isononanoate, Cetearyl Alcohol, Isostearyl Neopentanoate, Octyldodecyl Myristate, Hydrogenated Polyisobutene, Dimethicone, Pentylene Glycol, Jojoba Esters, Hdi/​Trimethylol Hexyllactone Crosspolymer, Glyceryl Stearate, Cetearyl Glucoside, Zingiber Officinale (Ginger) Root Extract, Camellia Japonica Flower Extract, Butyrospermum Parkii (Shea) Butter, Camellia Oleifera Seed Oil, Olus (Vegetable Oil), PEG-100 Stearate, Butylene Glycol, Parfum (Fragrance), Chlorphenesin, Caprylyl Glycol, Sodium Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Phenoxyethanol, Sodium Carbomer, Camelina Sativa Seed Oil, Propylene Glycol, Sodium Hyaluronate, Tetrasodium EDTA, Silica, PEG-12, Tocopherol, Citric Acid",https://incidecoder-content.storage.googleapis.com/c4c0b4dd-2e80-4d29-8b2f-65870f116be3/products/chanel-hydra-beauty-nutrition/chanel-hydra-beauty-nutrition_front_photo_original.jpeg,Success,Channel HYDRA BEAUTY NUTRITION,Channel HYDRA BEAUTY NUTRITION,Chanel Hydra Beauty Nutrition,True
,,,,,,,None link found,Channel HYDRA BEAUTY GEL CRÈME,Channel HYDRA BEAUTY GEL CRÈME,,True
https://incidecoder.com/products/chanel-hydra-beauty-micro-creme,Chanel,Hydra Beauty Micro Crème,11/22/2019,"This moisturizer delivers a revolutionary infusion of 24-hour continuous hydration. The water-light texture glides on with a sensorial burst of freshness and then transforms into the comfort of a cream, leaving skin hydrated, replenished and fortified.","Aqua (Water), Glycerin, Alcohol, Propanediol, Butylene Glycol, Isodecyl Neopentanoate, Isononyl Isononanoate, Pentylene Glycol, Isododecane, Jojoba Esters, Camellia Japonica Flower Extract, Zingiber Officinale (Ginger) Root Extract, Butyrospermum Parkii (Shea) Butter, Methyl Methacrylate Crosspolymer, Nylon-6, Phenoxyethanol, Dextrin Palmitate, Neopentyl Glycol Diheptanoate, Squalane, Hydrogenated Polydecene, Sodium Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Parfum (Fragrance), Sodium Carbomer, Dipropylene Glycol, Hydroxystearic Acid, Sodium Palmitate, Disodium EDTA, Amodimethicone, Sodium Citrate, Palmitic Acid, Sodium Hyaluronate, T-Butyl Alcohol, Tocopherol, Octyldodecyl Myristate, Denatonium Benzoate, Citric Acid, Ci 42090 (Blue 1 Lake), Ci 77510 (Ferric Ferrocyanide)",https://incidecoder-content.storage.googleapis.com/eb05a899-edd6-4ac5-b6ef-3e16ca47aa52/products/chanel-hydra-beauty-micro-creme/chanel-hydra-beauty-micro-creme_front_photo_original.jpeg,Success,Channel HYDRA BEAUTY CRÈME,Channel HYDRA BEAUTY CRÈME,Chanel Hydra Beauty Micro Crème,True
,,,,,,,None link found,Channel SUBLIMAGE LA PROTECTION UV,Channel SUBLIMAGE LA PROTECTION UV,,True
,,,,,,,None link found,Channel HYDRA BEAUTY CAMELLIA WATER CREAM,Channel HYDRA BEAUTY CAMELLIA WATER CREAM,,True
,,,,,,,None link found,Channel LE LIFT creme RICH,Channel LE LIFT creme RICH,,True
,,,,,,,None link found,Channel LE LIFT CRÈME DE NUIT,Channel LE LIFT CRÈME DE NUIT,,True
,,,,,,,None link found,Channel LE LIFT RESTORATIVE CREAM-OIL,Channel LE LIFT RESTORATIVE CREAM-OIL,,True
,,,,,,,None link found,Channel LE BLANC CRÈME HEALTHY LIGHT CREATOR,Channel LE BLANC CRÈME HEALTHY LIGHT CREATOR,,True
,,,,,,,None link found,Chanel LE BLANC Crème Riche Healthy Light Creator,Chanel LE BLANC Crème Riche Healthy Light Creator,,True
https://incidecoder.com/products/chanel-hydra-beauty-micro-creme,Chanel,Hydra Beauty Micro Crème,11/22/2019,"This moisturizer delivers a revolutionary infusion of 24-hour continuous hydration. The water-light texture glides on with a sensorial burst of freshness and then transforms into the comfort of a cream, leaving skin hydrated, replenished and fortified.","Aqua (Water), Glycerin, Alcohol, Propanediol, Butylene Glycol, Isodecyl Neopentanoate, Isononyl Isononanoate, Pentylene Glycol, Isododecane, Jojoba Esters, Camellia Japonica Flower Extract, Zingiber Officinale (Ginger) Root Extract, Butyrospermum Parkii (Shea) Butter, Methyl Methacrylate Crosspolymer, Nylon-6, Phenoxyethanol, Dextrin Palmitate, Neopentyl Glycol Diheptanoate, Squalane, Hydrogenated Polydecene, Sodium Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Parfum (Fragrance), Sodium Carbomer, Dipropylene Glycol, Hydroxystearic Acid, Sodium Palmitate, Disodium EDTA, Amodimethicone, Sodium Citrate, Palmitic Acid, Sodium Hyaluronate, T-Butyl Alcohol, Tocopherol, Octyldodecyl Myristate, Denatonium Benzoate, Citric Acid, Ci 42090 (Blue 1 Lake), Ci 77510 (Ferric Ferrocyanide)",https://incidecoder-content.storage.googleapis.com/eb05a899-edd6-4ac5-b6ef-3e16ca47aa52/products/chanel-hydra-beauty-micro-creme/chanel-hydra-beauty-micro-creme_front_photo_original.jpeg,Success,Channel HYDRA BEAUTY MICRO CRÈME,Channel HYDRA BEAUTY MICRO CRÈME,Chanel Hydra Beauty Micro Crème,True
,,,,,,,None link found,Channel LE LIFT FLUID,Channel LE LIFT FLUID,,True
,,,,,,,None link found,Channel N°1 DE CHANEL RICH REVITALIZING CREAM,Channel N°1 DE CHANEL RICH REVITALIZING CREAM,,True
,,,,,,,None link found,Channel DÉMAQUILLANT YEUX INTENSE,Channel DÉMAQUILLANT YEUX INTENSE,,True
https://incidecoder.com/products/chanel-sublimage-lhuile-en-gel-de-demaquillage,Chanel,Sublimage L'Huile-En-Gel De Démaquillage,11/22/2019,"A gel-to-oil face cleanser that gently dissolves makeup, while helping to purify and soften the complexion.","Caprylic/​Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Aqua (Water), Sucrose Laurate, Sucrose Palmitate, Vanilla Planifolia Fruit Water, Harungana Madagascariensis Extract, Camellia Oleifera Seed Oil, Phenoxyethanol, Parfum (Fragrance), Disodium Phosphate, Propylene Glycol, Chlorphenesin, Citric Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tocopherol",https://incidecoder-content.storage.googleapis.com/e13568bf-eecc-41c8-b74b-cec654ae28e8/products/chanel-sublimage-lhuile-en-gel-de-demaquillage/chanel-sublimage-lhuile-en-gel-de-demaquillage_front_photo_original.jpeg,Success,Channel SUBLIMAGE L'HUILE-EN-GEL DE DÉMAQUILLAGE,Channel SUBLIMAGE L'HUILE-EN-GEL DE DÉMAQUILLAGE,Chanel Sublimage L'Huile-En-Gel De Démaquillage,True
https://incidecoder.com/products/chanel-sublimage-les-grains-de-vanille,Chanel,Sublimage Les Grains De Vanille,11/22/2019,A smooth face scrub that helps purify and refine the look of skin with the exfoliating power of Vanilla and Jojoba seeds.,"Aqua (Water), Jojoba Esters, Glycerin, Pentylene Glycol, Vanilla Planifolia Seed, Diglycerin, Methylpropanediol, Vanilla Planifolia Fruit Water, Harungana Madagascariensis Extract, Sodium Carbomer, Chlorphenesin, Caprylyl Glycol, Xanthan Gum, Polyglycerin-3, Sodium Citrate, Parfum (Fragrance), Phenylpropanol, Phytic Acid, Phenoxyethanol, Sodium Benzoate, Ci 77499 (Iron Oxides)",https://incidecoder-content.storage.googleapis.com/40bfbd9a-74bb-44f7-9c6a-d5c2ce0fab45/products/chanel-sublimage-les-grains-de-vanille/chanel-sublimage-les-grains-de-vanille_front_photo_original.jpeg,Success,Channel SUBLIMAGE LES GRAINS DE VANILLE,Channel SUBLIMAGE LES GRAINS DE VANILLE,Chanel Sublimage Les Grains De Vanille,True
,,,,,,,None link found,Channel SUBLIMAGE LE SAVON DE SOIN,Channel SUBLIMAGE LE SAVON DE SOIN,,True
